A, 6312, 1474440971129, 000.1028900, 000.0358887, -009.6681976
A, 6313, 1474440971134, 000.0957184, 000.0323029, -009.6514435
A, 6314, 1474440971143, 000.0909271, 000.0311127, -009.6598206
A, 6315, 1474440971146, 000.1040802, 000.0394745, -009.6502533
A, 6316, 1474440971149, 000.1040802, 000.0323029, -009.6538391
A, 6317, 1474440971158, 000.0945129, 000.0334930, -009.6538391
A, 6318, 1474440971160, 000.0980988, 000.0442657, -009.6550446
A, 6319, 1474440971164, 000.0969086, 000.0526428, -009.6634216
A, 6320, 1474440971175, 000.0897369, 000.0382843, -009.6574249
A, 6321, 1474440971177, 000.0897369, 000.0394745, -009.6514435
A, 6322, 1474440971179, 000.1004944, 000.0311127, -009.6562347
A, 6323, 1474440971184, 000.0921173, 000.0287170, -009.6394806
A, 6324, 1474440971192, 000.0945129, 000.0323029, -009.6681976
A, 6325, 1474440971194, 000.0885315, 000.0299072, -009.6598206
A, 6326, 1474440971199, 000.0933228, 000.0358887, -009.6705933
A, 6327, 1474440971204, 000.0813599, 000.0275116, -009.6490631
A, 6328, 1474440971211, 000.0849457, 000.0346985, -009.6610260
A, 6329, 1474440971214, 000.0957184, 000.0514526, -009.6514435
A, 6330, 1474440971219, 000.1016998, 000.0370941, -009.6478577
A, 6331, 1474440971226, 000.0933228, 000.0358887, -009.6478577
A, 6332, 1474440971229, 000.0933228, 000.0358887, -009.6490631
A, 6333, 1474440971234, 000.0945129, 000.0406799, -009.6478577
A, 6334, 1474440971241, 000.0945129, 000.0346985, -009.6705933
A, 6335, 1474440971244, 000.0861359, 000.0358887, -009.6562347
A, 6336, 1474440971248, 000.0885315, 000.0323029, -009.6598206
A, 6337, 1474440971261, 000.0933228, 000.0334930, -009.6586304
A, 6338, 1474440971263, 000.1016998, 000.0358887, -009.6717834
A, 6339, 1474440971264, 000.1052856, 000.0406799, -009.6526489
A, 6340, 1474440971268, 000.0909271, 000.0370941, -009.6562347
A, 6341, 1474440971275, 000.0873413, 000.0394745, -009.6526489
A, 6342, 1474440971278, 000.0861359, 000.0287170, -009.6646118
A, 6343, 1474440971283, 000.0873413, 000.0394745, -009.6598206
A, 6344, 1474440971292, 000.0801544, 000.0275116, -009.6694031
A, 6345, 1474440971294, 000.0885315, 000.0323029, -009.6586304
A, 6346, 1474440971298, 000.0897369, 000.0346985, -009.6418762
A, 6347, 1474440971307, 000.0945129, 000.0287170, -009.6694031
A, 6348, 1474440971308, 000.0980988, 000.0394745, -009.6610260
A, 6349, 1474440971313, 000.0969086, 000.0287170, -009.6646118
A, 6350, 1474440971318, 000.0993042, 000.0394745, -009.6562347
A, 6351, 1474440971323, 000.1004944, 000.0334930, -009.6622162
A, 6352, 1474440971328, 000.0921173, 000.0358887, -009.6502533
A, 6353, 1474440971333, 000.0897369, 000.0346985, -009.6430817
A, 6354, 1474440971340, 000.0849457, 000.0311127, -009.6634216
A, 6355, 1474440971343, 000.0933228, 000.0418701, -009.6526489
A, 6356, 1474440971349, 000.0909271, 000.0502472, -009.6670074
A, 6357, 1474440971353, 000.0897369, 000.0346985, -009.6442719
A, 6358, 1474440971359, 000.0873413, 000.0323029, -009.6550446
A, 6359, 1474440971363, 000.0777740, 000.0334930, -009.6717834
A, 6360, 1474440971368, 000.0957184, 000.0275116, -009.6550446
A, 6361, 1474440971373, 000.0897369, 000.0334930, -009.6514435
A, 6362, 1474440971378, 000.0909271, 000.0323029, -009.6729889
A, 6363, 1474440971383, 000.1004944, 000.0346985, -009.6478577
A, 6364, 1474440971391, 000.1040802, 000.0394745, -009.6550446
A, 6365, 1474440971394, 000.1016998, 000.0478516, -009.6526489
A, 6366, 1474440971398, 000.0873413, 000.0311127, -009.6634216
A, 6367, 1474440971408, 000.0969086, 000.0334930, -009.6622162
A, 6368, 1474440971411, 000.1064758, 000.0358887, -009.6562347
A, 6369, 1474440971413, 000.0873413, 000.0215302, -009.6538391
A, 6370, 1474440971418, 000.0885315, 000.0275116, -009.6526489
A, 6371, 1474440971425, 000.1004944, 000.0358887, -009.6681976
A, 6372, 1474440971428, 000.0969086, 000.0323029, -009.6466675
A, 6373, 1474440971433, 000.1100769, 000.0454712, -009.6466675
A, 6374, 1474440971442, 000.0909271, 000.0275116, -009.6490631
A, 6375, 1474440971445, 000.0993042, 000.0334930, -009.6334991
A, 6376, 1474440971448, 000.0980988, 000.0370941, -009.6789703
A, 6377, 1474440971453, 000.0980988, 000.0382843, -009.6526489
A, 6378, 1474440971461, 000.0885315, 000.0358887, -009.6394806
A, 6379, 1474440971463, 000.1016998, 000.0454712, -009.6430817
A, 6380, 1474440971468, 000.0969086, 000.0311127, -009.6586304
A, 6381, 1474440971477, 000.0945129, 000.0358887, -009.6705933
A, 6382, 1474440971479, 000.0993042, 000.0358887, -009.5509491
A, 6383, 1474440971483, 000.0921173, 000.0370941, -009.8536377
A, 6384, 1474440971492, 000.0897369, 000.0311127, -009.5820618
A, 6385, 1474440971494, 000.0933228, 000.0430756, -009.5880432
A, 6386, 1474440971498, 000.0753784, 000.0275116, -009.7196503
A, 6387, 1474440971503, 000.0945129, 000.0299072, -009.5641174
A, 6388, 1474440971511, 000.0945129, 000.0323029, -009.7304077
A, 6389, 1474440971513, 000.0969086, 000.0299072, -009.6861420
A, 6390, 1474440971517, 000.0897369, 000.0287170, -009.6215363
A, 6391, 1474440971526, 000.0921173, 000.0263214, -009.7124634
A, 6392, 1474440971528, 000.0945129, 000.0454712, -009.5808563
A, 6393, 1474440971532, 000.0885315, 000.0334930, -009.6681976
A, 6394, 1474440971542, 000.0957184, 000.0287170, -009.6681976
A, 6395, 1474440971545, 000.0980988, 000.0358887, -009.6203461
A, 6396, 1474440971547, 000.1040802, 000.0466614, -009.7017059
A, 6397, 1474440971552, 000.0957184, 000.0358887, -009.6275177
A, 6398, 1474440971557, 000.1016998, 000.0311127, -009.6562347
A, 6399, 1474440971562, 000.0980988, 000.0382843, -009.6765747
A, 6400, 1474440971567, 000.0921173, 000.0299072, -009.6466675
A, 6401, 1474440971575, 000.0873413, 000.0275116, -009.6741791
A, 6402, 1474440971577, 000.0885315, 000.0311127, -009.6454620
A, 6403, 1474440971582, 000.0825500, 000.0251312, -009.6442719
A, 6404, 1474440971587, 000.0873413, 000.0358887, -009.6705933
A, 6405, 1474440971592, 000.0909271, 000.0346985, -009.6514435
A, 6406, 1474440971597, 000.0837555, 000.0430756, -009.6526489
A, 6407, 1474440971602, 000.1004944, 000.0442657, -009.6586304
A, 6408, 1474440971609, 000.0849457, 000.0346985, -009.6466675
A, 6409, 1474440971611, 000.0980988, 000.0442657, -009.6658020
A, 6410, 1474440971618, 000.1004944, 000.0370941, -009.6358948
A, 6411, 1474440971625, 000.1016998, 000.0418701, -009.6705933
A, 6412, 1474440971626, 000.0933228, 000.0287170, -009.6646118
A, 6413, 1474440971632, 000.0837555, 000.0287170, -009.6598206
A, 6414, 1474440971636, 000.1004944, 000.0358887, -009.6658020
A, 6415, 1474440971642, 000.0980988, 000.0323029, -009.6562347
A, 6416, 1474440971647, 000.0909271, 000.0394745, -009.6658020
A, 6417, 1474440971651, 000.0897369, 000.0323029, -009.6670074
A, 6418, 1474440971659, 000.0909271, 000.0358887, -009.6490631
A, 6419, 1474440971661, 000.0861359, 000.0287170, -009.6622162
A, 6420, 1474440971667, 000.0969086, 000.0346985, -009.6622162
A, 6421, 1474440971672, 000.0921173, 000.0299072, -009.6658020
A, 6422, 1474440971677, 000.0873413, 000.0406799, -009.6454620
A, 6423, 1474440971681, 000.0897369, 000.0346985, -009.6347046
A, 6424, 1474440971686, 000.1004944, 000.0358887, -009.6729889
A, 6425, 1474440971691, 000.0861359, 000.0299072, -009.6634216
